Method,Typology,Relevant_Candidates_In_Pool,Selected_Candidates,True_Positive_Candidates,Coverage,Precision,Recall,F1,Selected_Candidate_IDs
Risk Greedy K=5,GATHER-SCATTER,6,3,3,0.5625,1.0,0.5,0.6666666666666666,"0,3,4"
Risk Greedy K=5,SCATTER-GATHER,1,0,0,0.0,0.0,0.0,0.0,
Risk Greedy K=5,STACK,5,2,2,0.7647058823529411,1.0,0.4,0.5714285714285715,"1,2"
Growth Greedy K=5,GATHER-SCATTER,6,2,2,0.375,1.0,0.3333333333333333,0.5,"0,3"
Growth Greedy K=5,SCATTER-GATHER,1,0,0,0.0,0.0,0.0,0.0,
Growth Greedy K=5,STACK,5,3,1,0.4117647058823529,0.3333333333333333,0.2,0.25,"1,21,22"
Risk+Growth Greedy K=5,GATHER-SCATTER,6,3,3,0.5625,1.0,0.5,0.6666666666666666,"0,3,4"
Risk+Growth Greedy K=5,SCATTER-GATHER,1,0,0,0.0,0.0,0.0,0.0,
Risk+Growth Greedy K=5,STACK,5,2,2,0.7647058823529411,1.0,0.4,0.5714285714285715,"1,2"
Overlap-Aware Greedy K=5,GATHER-SCATTER,6,3,3,0.5625,1.0,0.5,0.6666666666666666,"0,3,4"
Overlap-Aware Greedy K=5,SCATTER-GATHER,1,0,0,0.0,0.0,0.0,0.0,
Overlap-Aware Greedy K=5,STACK,5,2,2,0.7647058823529411,1.0,0.4,0.5714285714285715,"1,2"
Static QUBO K=5,GATHER-SCATTER,6,3,3,0.5625,1.0,0.5,0.6666666666666666,"0,5,9"
Static QUBO K=5,SCATTER-GATHER,1,1,1,1.0,1.0,1.0,1.0,8
Static QUBO K=5,STACK,5,1,1,0.4117647058823529,1.0,0.2,0.33333333333333337,1
Temporal QUBO K=5,GATHER-SCATTER,6,3,2,0.5,0.6666666666666666,0.3333333333333333,0.4444444444444444,"0,4,13"
Temporal QUBO K=5,SCATTER-GATHER,1,0,0,0.0,0.0,0.0,0.0,
Temporal QUBO K=5,STACK,5,2,2,0.47058823529411764,1.0,0.4,0.5714285714285715,"1,11"
Static QUBO K=7,GATHER-SCATTER,6,3,3,0.5625,1.0,0.5,0.6666666666666666,"0,5,9"
Static QUBO K=7,SCATTER-GATHER,1,1,1,1.0,1.0,1.0,1.0,8
Static QUBO K=7,STACK,5,3,3,0.8823529411764706,1.0,0.6,0.7499999999999999,"1,2,7"
